日期,辐照度_0,风速_0,风向_0,温度_0,湿度_0,气压_0,辐照度_1,风速_1,风向_1,温度_1,湿度_1,气压_1,辐照度_2,风速_2,风向_2,温度_2,湿度_2,气压_2,辐照度_3,风速_3,风向_3,温度_3,湿度_3,气压_3,辐照度_4,风速_4,风向_4,温度_4,湿度_4,气压_4,辐照度_5,风速_5,风向_5,温度_5,湿度_5,气压_5,辐照度_6,风速_6,风向_6,温度_6,湿度_6,气压_6,辐照度_7,风速_7,风向_7,温度_7,湿度_7,气压_7,belong,电场实际太阳辐射指数
505.0,0.0,6.8,257.0,-1.9,44.0,69900.0,0.0,2.7,270.0,-3.8,45.0,69800.0,171.0,1.5,254.0,-2.7,36.0,69900.0,782.0,0.7,188.0,4.2,24.0,69800.0,890.0,2.4,353.0,9.7,16.0,69200.0,477.0,14.8,282.0,10.9,13.0,68900.0,15.0,10.3,247.0,6.6,22.0,68900.0,0.0,7.3,246.0,2.8,31.0,69100.0,0,0.165950717837012
506.0,0.0,1.6,263.0,-0.4,34.0,69200.0,0.0,1.6,90.0,-2.1,37.0,69100.0,128.0,0.1,270.0,0.0,29.0,69300.0,605.0,0.7,90.0,5.7,23.0,69400.0,817.0,0.9,108.0,10.5,19.0,69000.0,421.0,2.9,106.0,12.1,18.0,68800.0,10.0,4.2,62.0,8.8,31.0,69000.0,0.0,5.0,100.0,5.4,49.0,69300.0,0,0.545008755628254
507.0,0.0,4.6,83.0,2.8,61.0,69300.0,0.0,3.9,66.0,1.8,68.0,69300.0,157.0,2.7,70.0,1.7,66.0,69600.0,687.0,1.9,122.0,5.3,53.0,69600.0,834.0,2.9,290.0,10.3,33.0,69200.0,358.0,7.8,352.0,8.5,39.0,69200.0,7.0,4.2,69.0,6.2,48.0,69400.0,0.0,6.1,101.0,3.2,72.0,69800.0,0,0.572530718706179
508.0,0.0,3.9,37.0,1.2,78.0,69900.0,0.0,0.9,291.0,-0.1,81.0,69900.0,140.0,2.9,278.0,0.4,75.0,70100.0,666.0,8.8,299.0,5.8,27.0,70200.0,911.0,11.0,299.0,8.8,16.0,70100.0,564.0,11.2,300.0,9.1,13.0,69900.0,18.0,5.0,299.0,4.3,31.0,70000.0,0.0,7.3,255.0,0.4,36.0,70200.0,0,0.324525479435228
509.0,0.0,8.6,271.0,-0.6,32.0,70200.0,0.0,5.8,257.0,-2.0,35.0,70000.0,187.0,5.1,257.0,-0.1,24.0,70100.0,793.0,2.4,235.0,7.6,16.0,69900.0,981.0,9.8,275.0,14.8,13.0,69400.0,566.0,14.7,293.0,16.4,15.0,69100.0,17.0,11.2,289.0,11.9,25.0,69200.0,0.0,6.1,256.0,6.9,40.0,69400.0,0,0.154559570458239
510.0,0.0,3.8,248.0,3.3,42.0,69400.0,0.0,2.1,265.0,0.8,47.0,69400.0,183.0,0.8,330.0,2.2,43.0,69400.0,775.0,0.4,90.0,10.1,26.0,69300.0,899.0,0.8,263.0,16.8,19.0,68800.0,453.0,4.5,276.0,19.1,14.0,68300.0,13.0,8.7,251.0,16.4,19.0,68300.0,0.0,5.1,235.0,10.9,36.0,68500.0,0,0.778125546429282
511.0,0.0,1.8,93.0,7.9,42.0,68500.0,0.0,0.9,319.0,5.1,53.0,68700.0,182.0,2.1,259.0,5.1,47.0,68900.0,746.0,9.8,305.0,12.4,23.0,69000.0,870.0,16.9,296.0,14.6,16.0,68700.0,490.0,17.4,295.0,13.6,21.0,68600.0,16.0,7.2,11.0,8.5,41.0,69000.0,0.0,4.3,95.0,2.5,65.0,69600.0,0,0.6171954357002061
512.0,0.0,2.3,115.0,1.0,73.0,69600.0,0.0,0.3,108.0,-1.3,79.0,69600.0,196.0,0.6,252.0,-0.4,66.0,69700.0,793.0,0.5,270.0,5.6,39.0,69700.0,976.0,3.2,338.0,12.1,13.0,69300.0,556.0,10.7,11.0,10.0,11.0,69300.0,18.0,6.2,78.0,5.8,21.0,69700.0,0.0,5.4,80.0,2.0,35.0,70000.0,0,0.472037966182429
513.0,0.0,4.7,80.0,0.8,30.0,69800.0,0.0,1.8,90.0,-0.6,37.0,69700.0,195.0,0.8,14.0,0.5,34.0,69800.0,772.0,1.1,270.0,5.8,27.0,69800.0,872.0,10.7,297.0,11.7,18.0,69400.0,456.0,9.1,327.0,11.7,18.0,69200.0,15.0,4.6,57.0,8.1,28.0,69300.0,0.0,5.3,51.0,3.9,41.0,69500.0,0,0.15455990973526199
514.0,0.0,2.5,88.0,1.0,42.0,69400.0,0.0,0.8,67.0,-0.1,43.0,69300.0,205.0,0.6,329.0,1.5,37.0,69400.0,801.0,0.6,279.0,7.8,22.0,69400.0,924.0,4.6,290.0,14.5,12.0,69000.0,510.0,10.0,351.0,14.5,14.0,68900.0,17.0,4.0,33.0,10.2,21.0,69100.0,0.0,4.8,79.0,5.8,34.0,69400.0,0,0.252573309671261
515.0,0.0,3.3,47.0,1.8,43.0,69500.0,0.0,1.0,61.0,0.7,41.0,69500.0,209.0,0.9,0.0,1.7,36.0,69600.0,803.0,0.9,96.0,8.0,25.0,69500.0,994.0,0.2,90.0,14.1,15.0,69200.0,563.0,0.7,225.0,17.2,10.0,68700.0,18.0,6.2,75.0,13.7,17.0,68700.0,0.0,4.6,90.0,8.5,35.0,69000.0,0,0.23132559003339603
516.0,0.0,4.0,63.0,5.9,33.0,69200.0,0.0,4.3,65.0,3.8,39.0,69100.0,170.0,3.1,81.0,5.5,34.0,69300.0,704.0,4.0,102.0,10.4,24.0,69300.0,878.0,1.1,100.0,13.9,21.0,69000.0,477.0,4.7,61.0,15.3,22.0,68800.0,14.0,4.7,65.0,11.8,35.0,69100.0,0.0,4.3,23.0,8.4,51.0,69600.0,0,0.42040925962378
517.0,0.0,6.5,15.0,5.5,64.0,69700.0,0.0,3.0,30.0,3.9,76.0,69700.0,58.0,2.4,95.0,3.1,81.0,69900.0,369.0,2.7,103.0,4.0,69.0,70000.0,708.0,5.1,73.0,8.4,46.0,69600.0,380.0,7.4,99.0,11.0,36.0,69300.0,9.0,8.6,98.0,7.1,53.0,69600.0,0.0,6.5,101.0,4.7,67.0,69800.0,0,0.490476562363819
518.0,0.0,4.7,89.0,4.3,67.0,69700.0,0.0,4.0,68.0,3.2,70.0,69700.0,75.0,3.1,65.0,2.4,71.0,69900.0,302.0,2.9,76.0,3.5,64.0,70000.0,435.0,5.2,89.0,5.2,58.0,70000.0,301.0,6.4,101.0,6.2,54.0,69900.0,11.0,6.1,104.0,4.3,68.0,70100.0,0.0,5.2,110.0,2.7,74.0,70300.0,0,0.971262992887264
519.0,0.0,4.0,90.0,1.7,83.0,70200.0,0.0,3.7,110.0,-0.8,83.0,70100.0,202.0,2.8,107.0,0.7,69.0,70200.0,778.0,2.6,119.0,4.9,47.0,70100.0,907.0,2.5,148.0,9.2,35.0,69800.0,497.0,1.9,115.0,10.6,29.0,69500.0,17.0,3.7,56.0,8.4,43.0,69600.0,0.0,4.2,56.0,4.2,60.0,69900.0,0,0.36626493731205895
520.0,0.0,1.0,354.0,1.7,68.0,69900.0,0.0,1.1,292.0,-0.9,72.0,69900.0,221.0,1.9,279.0,0.9,57.0,70000.0,811.0,1.1,153.0,6.8,42.0,70000.0,969.0,1.3,135.0,10.4,36.0,69700.0,560.0,1.2,95.0,11.8,28.0,69400.0,20.0,3.2,134.0,9.6,39.0,69400.0,0.0,1.9,65.0,6.1,51.0,69700.0,0,0.397108295340622
521.0,0.0,2.8,92.0,4.1,55.0,69600.0,0.0,0.8,120.0,1.0,63.0,69500.0,204.0,0.3,162.0,2.9,52.0,69600.0,800.0,1.5,148.0,9.1,33.0,69600.0,980.0,0.7,74.0,13.7,24.0,69200.0,566.0,0.7,0.0,15.2,18.0,68900.0,21.0,2.2,90.0,12.8,31.0,69000.0,0.0,4.7,75.0,8.5,41.0,69200.0,0,0.4900664002905829
522.0,0.0,3.2,46.0,7.8,46.0,69200.0,0.0,3.6,341.0,4.8,56.0,69200.0,216.0,2.3,56.0,5.8,50.0,69400.0,767.0,2.4,105.0,10.7,37.0,69400.0,884.0,4.5,298.0,15.1,18.0,69100.0,522.0,6.9,292.0,16.2,12.0,68800.0,21.0,5.5,20.0,12.0,27.0,68900.0,0.0,7.6,58.0,7.8,39.0,69200.0,0,0.866631932139483
523.0,0.0,3.5,102.0,3.7,68.0,69300.0,0.0,1.4,78.0,2.7,68.0,69300.0,227.0,1.4,98.0,2.9,59.0,69400.0,821.0,2.7,121.0,9.6,36.0,69200.0,1005.0,3.5,140.0,15.9,23.0,68800.0,577.0,5.7,122.0,19.1,19.0,68300.0,22.0,7.2,103.0,15.6,32.0,68300.0,0.0,4.7,90.0,11.3,48.0,68700.0,0,0.5273548721281
524.0,0.0,7.6,294.0,8.2,64.0,68900.0,0.0,6.9,301.0,5.9,71.0,69100.0,196.0,5.0,300.0,5.7,61.0,69300.0,562.0,7.2,294.0,10.7,33.0,69300.0,505.0,7.2,310.0,11.2,34.0,69200.0,279.0,7.9,301.0,9.5,40.0,69300.0,15.0,3.5,75.0,7.7,49.0,69400.0,0.0,3.4,118.0,5.3,65.0,69700.0,0,0.770748926387615
525.0,0.0,4.6,80.0,1.7,86.0,69800.0,0.0,2.8,75.0,0.0,84.0,69800.0,221.0,2.5,286.0,2.3,67.0,70000.0,820.0,12.1,292.0,9.1,19.0,70100.0,986.0,15.3,292.0,11.0,16.0,69900.0,561.0,12.8,300.0,11.3,14.0,69700.0,24.0,9.3,304.0,7.9,22.0,69800.0,0.0,6.0,281.0,3.9,34.0,70000.0,0,0.406343371976451
526.0,0.0,5.1,264.0,0.9,48.0,70000.0,0.0,3.0,276.0,-2.6,53.0,69900.0,249.0,0.6,279.0,0.3,39.0,70000.0,850.0,1.0,191.0,6.8,25.0,69800.0,1028.0,3.4,275.0,12.9,11.0,69400.0,601.0,12.0,288.0,14.0,8.0,69200.0,27.0,7.2,295.0,10.9,15.0,69300.0,0.0,3.8,276.0,5.6,28.0,69600.0,0,0.5127705698755239
527.0,0.0,8.0,357.0,2.3,38.0,69800.0,0.0,7.1,24.0,-0.9,57.0,70200.0,200.0,2.3,358.0,0.9,47.0,70400.0,604.0,3.3,97.0,4.6,37.0,70300.0,636.0,4.7,125.0,7.3,30.0,70000.0,332.0,4.6,128.0,7.7,28.0,69800.0,17.0,6.2,105.0,5.4,43.0,70000.0,0.0,4.9,96.0,3.7,53.0,70300.0,0,0.45879464127735897
528.0,0.0,6.3,90.0,2.2,52.0,70100.0,0.0,4.7,94.0,0.0,58.0,70000.0,245.0,2.6,99.0,2.5,47.0,70100.0,831.0,1.2,138.0,7.8,37.0,70000.0,945.0,2.0,108.0,12.7,21.0,69600.0,503.0,4.8,78.0,14.2,16.0,69200.0,25.0,6.9,70.0,12.4,20.0,69300.0,0.0,6.7,24.0,8.7,38.0,69700.0,0,0.327967789028998
529.0,0.0,6.7,318.0,2.9,81.0,69900.0,0.0,5.6,297.0,2.1,88.0,69900.0,164.0,6.7,302.0,3.1,65.0,70000.0,744.0,4.1,329.0,7.2,39.0,70000.0,955.0,3.4,345.0,11.3,20.0,69700.0,525.0,4.4,337.0,12.5,19.0,69500.0,25.0,1.9,148.0,8.4,37.0,69500.0,0.0,2.3,70.0,5.0,37.0,69700.0,0,1.0
530.0,0.0,1.1,75.0,1.8,43.0,69700.0,0.0,0.9,324.0,-1.1,52.0,69700.0,255.0,1.2,275.0,1.4,43.0,69900.0,829.0,1.1,117.0,7.3,30.0,69900.0,967.0,1.7,115.0,11.5,26.0,69600.0,484.0,4.6,103.0,12.9,26.0,69300.0,19.0,4.9,44.0,9.1,36.0,69500.0,0.0,3.5,51.0,5.8,50.0,69700.0,0,0.4896388552093211
531.0,0.0,2.4,330.0,3.8,59.0,69600.0,0.0,0.9,201.0,2.6,61.0,69500.0,243.0,0.1,180.0,4.2,54.0,69700.0,809.0,0.3,162.0,9.8,36.0,69700.0,908.0,4.9,290.0,15.9,21.0,69300.0,480.0,5.7,12.0,15.6,23.0,69200.0,26.0,3.7,87.0,12.3,35.0,69400.0,0.0,2.6,13.0,7.6,40.0,69600.0,0,0.427952127585933
532.0,0.0,2.4,81.0,5.9,41.0,69600.0,0.0,2.2,80.0,4.5,45.0,69500.0,218.0,2.1,317.0,6.3,46.0,69800.0,604.0,2.0,57.0,10.7,36.0,69900.0,593.0,4.1,16.0,10.9,44.0,69900.0,361.0,1.3,48.0,10.0,51.0,69900.0,22.0,3.6,134.0,7.7,65.0,70100.0,0.0,2.5,127.0,5.4,82.0,70400.0,0,0.505060499524816
533.0,0.0,2.6,67.0,4.9,75.0,70100.0,0.0,5.1,9.0,2.9,77.0,70200.0,183.0,3.0,21.0,4.5,67.0,70400.0,745.0,0.6,180.0,8.1,53.0,70500.0,925.0,1.8,112.0,12.0,41.0,70200.0,502.0,4.6,303.0,12.4,33.0,70100.0,26.0,2.2,54.0,10.3,45.0,70100.0,0.0,2.9,36.0,5.7,61.0,70300.0,0,0.385542067887132
534.0,0.0,1.6,90.0,3.6,60.0,70200.0,0.0,1.0,90.0,1.5,63.0,70100.0,256.0,2.8,270.0,3.5,54.0,70200.0,840.0,0.4,270.0,10.1,35.0,70100.0,990.0,0.3,270.0,15.7,21.0,69700.0,585.0,1.1,5.0,17.9,14.0,69400.0,37.0,4.2,142.0,14.0,33.0,69300.0,0.0,2.2,90.0,10.0,34.0,69500.0,0,0.37872831318666994
535.0,0.0,1.4,82.0,8.5,31.0,69500.0,0.0,1.1,80.0,5.7,38.0,69500.0,149.0,1.3,356.0,7.1,38.0,69700.0,489.0,4.7,293.0,12.3,26.0,69700.0,577.0,8.4,300.0,15.0,25.0,69500.0,350.0,4.8,319.0,14.1,30.0,69400.0,37.0,5.7,301.0,12.4,31.0,69500.0,0.0,2.1,307.0,7.1,55.0,69800.0,0,0.7350998775121109
536.0,0.0,1.4,168.0,3.5,64.0,69800.0,0.0,3.1,324.0,0.7,67.0,69800.0,265.0,3.6,273.0,4.3,47.0,70000.0,830.0,9.5,288.0,11.8,14.0,69800.0,889.0,10.8,311.0,13.9,11.0,69600.0,470.0,8.0,324.0,14.0,12.0,69400.0,31.0,6.6,32.0,10.6,24.0,69600.0,0.0,3.3,44.0,7.1,36.0,69900.0,0,0.272211108249425
537.0,0.0,2.5,45.0,2.9,52.0,70000.0,0.0,2.1,65.0,1.5,57.0,69900.0,261.0,1.8,292.0,3.4,51.0,70100.0,837.0,1.3,138.0,8.9,33.0,70100.0,956.0,1.4,111.0,12.8,24.0,69800.0,460.0,3.8,41.0,13.3,22.0,69700.0,23.0,5.7,99.0,10.4,37.0,69900.0,0.0,6.6,100.0,8.2,49.0,70000.0,0,0.767228684213473
538.0,0.0,4.9,94.0,4.6,63.0,70000.0,0.0,4.4,89.0,2.2,71.0,70000.0,262.0,2.3,108.0,4.5,57.0,70100.0,834.0,1.5,110.0,9.6,39.0,69900.0,986.0,1.9,102.0,14.2,22.0,69500.0,527.0,4.7,50.0,15.1,20.0,69300.0,39.0,3.6,174.0,12.2,31.0,69400.0,0.0,1.4,56.0,8.9,46.0,69600.0,0,0.601813218745069
539.0,0.0,2.5,74.0,6.1,48.0,69400.0,0.0,2.1,87.0,4.0,54.0,69400.0,268.0,0.9,69.0,5.8,43.0,69500.0,840.0,2.3,121.0,11.9,29.0,69400.0,989.0,1.7,59.0,16.4,16.0,69100.0,590.0,3.0,23.0,18.5,12.0,68800.0,51.0,7.0,32.0,14.6,20.0,69000.0,0.0,5.1,43.0,10.2,31.0,69300.0,0,0.8670416583155001
540.0,0.0,2.7,356.0,6.0,51.0,69400.0,0.0,2.4,294.0,3.5,58.0,69400.0,266.0,2.8,276.0,6.6,43.0,69600.0,838.0,1.5,293.0,13.5,25.0,69500.0,1014.0,5.0,9.0,18.3,16.0,69300.0,621.0,6.6,0.0,19.0,15.0,69100.0,54.0,4.9,32.0,15.9,26.0,69200.0,0.0,4.4,73.0,11.2,38.0,69400.0,0,0.35947248793546505
541.0,0.0,1.0,336.0,7.8,40.0,69300.0,0.0,1.3,108.0,6.5,39.0,69300.0,274.0,1.2,90.0,8.4,33.0,69400.0,863.0,2.0,120.0,14.7,20.0,69200.0,1020.0,3.8,113.0,20.4,9.0,68800.0,523.0,4.8,86.0,22.3,7.0,68500.0,38.0,7.9,75.0,19.9,15.0,68500.0,0.0,6.5,50.0,16.3,24.0,68800.0,0,0.547470165970704
542.0,0.0,5.5,41.0,15.0,32.0,68900.0,0.0,8.0,27.0,13.4,40.0,69000.0,177.0,5.5,20.0,13.6,40.0,69200.0,712.0,4.4,93.0,17.0,30.0,69300.0,915.0,4.1,91.0,19.1,24.0,69000.0,506.0,5.4,120.0,21.2,20.0,68800.0,42.0,7.7,97.0,18.0,30.0,68900.0,0.0,4.6,90.0,15.3,41.0,69300.0,0,0.9477625828785129
543.0,0.0,5.4,106.0,11.1,51.0,69400.0,0.0,2.5,153.0,10.3,59.0,69400.0,92.0,1.7,126.0,9.3,71.0,69500.0,447.0,4.4,96.0,11.0,59.0,69500.0,776.0,3.7,117.0,16.3,38.0,69000.0,414.0,3.7,98.0,18.5,35.0,68700.0,22.0,7.1,352.0,11.1,68.0,69300.0,0.0,1.4,176.0,9.5,78.0,69700.0,0,0.5435349605474961
544.0,0.0,2.9,10.0,8.4,75.0,69700.0,0.0,2.3,304.0,6.8,74.0,69800.0,233.0,1.4,309.0,7.8,57.0,70000.0,789.0,0.4,153.0,11.6,47.0,69900.0,962.0,2.2,106.0,14.8,39.0,69700.0,589.0,2.1,101.0,15.9,35.0,69500.0,53.0,7.5,95.0,12.6,53.0,69600.0,0.0,5.6,99.0,9.2,70.0,69800.0,0,0.535903140445125
545.0,0.0,4.2,94.0,5.6,76.0,69800.0,0.0,4.0,97.0,3.9,74.0,69800.0,264.0,1.9,118.0,6.8,62.0,69900.0,817.0,2.6,101.0,11.7,48.0,69800.0,939.0,4.2,101.0,16.1,39.0,69400.0,477.0,8.1,99.0,17.2,33.0,69100.0,29.0,8.2,95.0,13.6,49.0,69400.0,0.0,7.7,86.0,10.0,71.0,69800.0,0,1.0
546.0,0.0,4.5,72.0,7.3,80.0,69900.0,0.0,2.4,45.0,5.1,87.0,70000.0,106.0,2.2,69.0,5.6,80.0,70000.0,414.0,2.7,96.0,8.0,69.0,70000.0,685.0,2.6,97.0,10.7,62.0,69800.0,451.0,2.2,112.0,12.4,55.0,69600.0,37.0,3.9,296.0,9.6,69.0,69900.0,0.0,1.1,63.0,6.4,76.0,70200.0,0,1.0
547.0,0.0,1.2,48.0,5.1,82.0,70300.0,0.0,1.9,32.0,3.7,89.0,70200.0,187.0,2.0,273.0,3.7,83.0,70400.0,775.0,0.4,180.0,8.0,57.0,70300.0,961.0,1.3,119.0,11.4,49.0,70000.0,557.0,0.9,186.0,11.9,36.0,69800.0,55.0,3.4,130.0,10.0,56.0,69900.0,0.0,1.3,90.0,6.0,63.0,70100.0,0,1.0
548.0,0.0,2.2,68.0,4.6,82.0,70000.0,0.0,1.8,61.0,2.7,82.0,69900.0,267.0,3.8,293.0,5.6,68.0,70000.0,817.0,1.3,270.0,10.3,52.0,69900.0,973.0,0.8,180.0,13.9,40.0,69600.0,602.0,1.9,55.0,15.0,22.0,69400.0,60.0,3.6,42.0,11.7,43.0,69500.0,0.0,3.5,83.0,6.7,53.0,69800.0,0,0.332656611280451
549.0,0.0,2.5,334.0,4.3,49.0,69800.0,0.0,0.6,0.0,4.8,45.0,69700.0,272.0,1.6,284.0,6.8,45.0,69900.0,844.0,0.7,164.0,12.1,35.0,69800.0,1028.0,1.9,106.0,16.5,24.0,69500.0,587.0,3.6,117.0,18.1,20.0,69200.0,52.0,6.1,107.0,15.4,39.0,69200.0,0.0,4.9,79.0,11.2,44.0,69400.0,0,0.715566008045764
550.0,0.0,4.0,90.0,10.1,50.0,69300.0,0.0,3.4,104.0,9.3,52.0,69200.0,150.0,2.1,107.0,10.9,50.0,69400.0,434.0,1.7,97.0,13.8,40.0,69400.0,515.0,1.4,159.0,16.6,32.0,69100.0,263.0,7.2,23.0,15.5,37.0,69100.0,26.0,2.4,7.0,13.8,49.0,69300.0,0.0,2.3,214.0,10.9,59.0,69500.0,0,1.0
551.0,0.0,9.6,287.0,9.3,71.0,69400.0,0.0,8.9,285.0,8.6,69.0,69400.0,158.0,6.2,281.0,9.8,61.0,69600.0,636.0,2.6,281.0,14.7,37.0,69600.0,867.0,2.8,142.0,17.8,28.0,69300.0,510.0,5.3,142.0,18.4,26.0,69100.0,54.0,1.6,142.0,16.8,39.0,69200.0,0.0,0.2,63.0,13.3,52.0,69500.0,0,0.7945390171846579
552.0,0.0,0.9,144.0,11.3,53.0,69500.0,0.0,1.8,90.0,10.3,55.0,69500.0,262.0,1.5,113.0,12.2,46.0,69500.0,799.0,3.4,117.0,16.6,33.0,69400.0,913.0,3.4,144.0,19.9,27.0,69100.0,467.0,4.6,122.0,20.5,25.0,68900.0,39.0,8.7,110.0,18.2,34.0,69000.0,0.0,6.9,112.0,15.5,47.0,69300.0,0,0.348163257870029
553.0,0.0,1.6,117.0,13.8,56.0,69100.0,0.0,1.7,80.0,11.4,72.0,69100.0,48.0,5.6,17.0,10.1,75.0,69200.0,204.0,2.4,355.0,10.6,68.0,69300.0,306.0,2.4,24.0,12.1,60.0,69300.0,191.0,3.0,63.0,12.7,54.0,69200.0,23.0,0.6,180.0,11.8,64.0,69300.0,0.0,0.6,225.0,10.2,81.0,69500.0,0,1.0
554.0,0.0,2.3,308.0,8.4,84.0,69500.0,0.0,2.4,303.0,7.3,83.0,69400.0,189.0,1.7,270.0,8.8,75.0,69400.0,534.0,2.4,142.0,12.0,58.0,69400.0,540.0,2.9,128.0,14.3,52.0,69100.0,220.0,2.1,125.0,13.3,59.0,68900.0,15.0,4.1,76.0,11.1,74.0,69100.0,0.0,4.1,54.0,10.0,80.0,69200.0,0,1.0
555.0,0.0,4.2,59.0,10.6,75.0,69000.0,0.0,2.9,54.0,9.2,80.0,68900.0,99.0,2.1,53.0,10.6,75.0,69000.0,315.0,3.2,85.0,12.8,62.0,69000.0,369.0,4.6,51.0,13.6,58.0,69000.0,191.0,6.4,20.0,11.8,70.0,69000.0,19.0,1.9,288.0,10.1,77.0,69200.0,0.0,5.2,316.0,8.9,81.0,69400.0,0,1.0
556.0,0.0,2.1,47.0,8.9,79.0,69400.0,0.0,2.1,45.0,8.5,80.0,69300.0,78.0,1.3,45.0,9.0,75.0,69300.0,243.0,0.9,69.0,9.8,75.0,69400.0,315.0,1.1,218.0,10.5,72.0,69300.0,191.0,1.1,345.0,10.5,71.0,69200.0,23.0,3.8,125.0,9.1,84.0,69300.0,0.0,2.4,161.0,7.8,85.0,69500.0,0,1.0
557.0,0.0,1.9,96.0,6.8,89.0,69300.0,0.0,0.4,214.0,6.4,88.0,69300.0,136.0,3.5,268.0,7.6,78.0,69300.0,379.0,10.9,289.0,9.8,64.0,69200.0,425.0,6.6,323.0,10.2,58.0,69200.0,328.0,4.1,334.0,10.6,57.0,69200.0,47.0,1.1,350.0,8.4,71.0,69300.0,0.0,4.0,340.0,6.1,81.0,69500.0,0,1.0
558.0,0.0,6.9,284.0,3.5,80.0,69400.0,0.0,8.9,278.0,3.6,72.0,69400.0,244.0,8.1,277.0,6.3,60.0,69600.0,705.0,12.1,280.0,10.4,47.0,69400.0,816.0,11.1,298.0,12.7,38.0,69300.0,487.0,10.3,306.0,13.3,35.0,69300.0,63.0,10.9,289.0,10.8,47.0,69400.0,0.0,11.4,284.0,7.2,60.0,69700.0,0,0.6698924482394979
559.0,0.0,8.6,288.0,4.7,71.0,69700.0,0.0,6.1,284.0,3.1,71.0,69800.0,284.0,2.8,288.0,5.9,60.0,69900.0,828.0,0.2,243.0,11.3,45.0,69900.0,967.0,0.3,180.0,14.8,34.0,69600.0,613.0,0.1,135.0,16.2,29.0,69300.0,75.0,4.1,93.0,12.5,53.0,69300.0,0.0,3.8,65.0,8.0,63.0,69500.0,0,0.364723223964734
560.0,0.0,3.4,300.0,6.1,70.0,69500.0,0.0,0.7,352.0,4.6,69.0,69400.0,278.0,0.3,342.0,8.6,55.0,69600.0,822.0,0.4,14.0,12.9,47.0,69500.0,939.0,2.6,301.0,17.1,35.0,69200.0,579.0,2.8,354.0,17.3,33.0,69100.0,75.0,2.3,90.0,14.2,53.0,69200.0,0.0,2.0,33.0,10.6,57.0,69400.0,0,0.518844762271372
561.0,0.0,3.0,73.0,8.2,67.0,69400.0,0.0,2.3,90.0,7.4,69.0,69400.0,270.0,2.0,90.0,9.7,62.0,69500.0,804.0,3.0,96.0,14.3,48.0,69300.0,887.0,6.2,101.0,18.5,36.0,69000.0,337.0,9.4,100.0,18.5,38.0,68600.0,19.0,5.1,117.0,12.5,74.0,69100.0,0.0,3.4,102.0,10.2,84.0,69400.0,0,1.0
562.0,0.0,8.7,308.0,8.4,82.0,69500.0,0.0,5.4,344.0,7.3,82.0,69600.0,139.0,2.6,257.0,8.0,77.0,69700.0,688.0,5.7,283.0,12.6,47.0,69600.0,926.0,9.4,280.0,16.1,37.0,69300.0,510.0,5.1,333.0,16.0,38.0,69200.0,53.0,3.8,331.0,13.6,54.0,69400.0,0.0,3.8,312.0,9.5,60.0,69600.0,0,0.7471976821552
563.0,0.0,2.8,330.0,5.7,59.0,69600.0,0.0,1.1,75.0,6.7,54.0,69600.0,248.0,0.7,82.0,8.3,51.0,69700.0,755.0,1.3,99.0,12.9,41.0,69600.0,859.0,2.9,146.0,16.1,31.0,69400.0,500.0,3.1,143.0,17.5,30.0,69200.0,65.0,3.5,121.0,15.0,48.0,69200.0,0.0,5.6,125.0,11.1,61.0,69500.0,0,0.609043226293842
564.0,0.0,4.2,109.0,8.6,69.0,69300.0,0.0,3.0,114.0,7.9,66.0,69200.0,274.0,1.4,111.0,10.6,57.0,69400.0,809.0,2.2,111.0,14.7,47.0,69400.0,919.0,3.4,88.0,17.6,38.0,69100.0,515.0,4.7,74.0,18.3,39.0,69000.0,60.0,5.0,100.0,15.6,52.0,69200.0,0.0,5.7,50.0,12.0,60.0,69400.0,0,1.0
565.0,0.0,3.4,83.0,9.0,62.0,69400.0,0.0,3.9,78.0,8.1,64.0,69400.0,153.0,2.3,90.0,11.0,54.0,69500.0,580.0,2.5,95.0,14.5,42.0,69500.0,793.0,4.6,109.0,18.3,32.0,69200.0,414.0,8.3,111.0,18.6,31.0,69000.0,45.0,7.7,113.0,16.2,49.0,69200.0,0.0,2.4,78.0,12.8,55.0,69500.0,0,0.9586551994925531
566.0,0.0,3.4,105.0,11.4,61.0,69400.0,0.0,1.9,108.0,10.9,66.0,69400.0,74.0,0.4,56.0,10.8,69.0,69500.0,282.0,2.8,88.0,13.5,52.0,69500.0,350.0,3.5,97.0,15.2,46.0,69400.0,239.0,3.1,99.0,15.2,47.0,69300.0,43.0,3.9,108.0,14.2,58.0,69400.0,0.0,2.8,52.0,11.7,64.0,69600.0,0,0.643084175666578
567.0,0.0,3.2,332.0,10.6,81.0,69600.0,0.0,1.0,299.0,10.0,85.0,69500.0,67.0,1.6,333.0,10.7,77.0,69600.0,238.0,1.1,297.0,11.9,72.0,69700.0,477.0,0.2,270.0,14.3,60.0,69500.0,397.0,0.2,0.0,16.8,54.0,69300.0,44.0,3.6,52.0,13.4,76.0,69500.0,0.0,1.5,122.0,11.8,86.0,69700.0,0,0.8947452315875558
568.0,0.0,3.1,65.0,10.1,82.0,69600.0,0.0,1.9,0.0,8.6,85.0,69600.0,215.0,2.9,270.0,11.4,72.0,69700.0,705.0,0.7,304.0,14.8,57.0,69700.0,912.0,0.9,72.0,17.6,43.0,69400.0,604.0,2.0,84.0,18.9,35.0,69200.0,80.0,6.4,115.0,16.7,51.0,69200.0,0.0,5.8,83.0,13.1,66.0,69600.0,0,1.0
